id,average_diameter,overall_depth,overall_height,overall_width,soma_surface,total_length,total_surface,total_volume
484775243,0.195627624,90.3529,548.7980701,257.1097168,128.2692192,3658.629571,2252.68188,115.6261346
485996843,0.457635174,87.0383,717.4083428,199.2142669,430.6350717,4158.819949,5944.196007,730.0147041
486041253,0.295455035,75.3286,584.0839223,386.0766948,502.0339484,2667.618389,2472.79502,197.063796
491119181,0.414032622,89.0718,284.6416702,239.4926099,383.8283018,1543.94101,2008.838025,237.466517
491119245,0.201322725,44.5237,302.0385421,323.4935617,120.2290518,1621.871325,1027.220686,54.52124023
491119305,0.171405017,63.84,429.6100771,179.5775022,71.94093196,1168.798,631.0806526,28.05902036
491119515,0.252702327,85.9511,353.6983154,242.7812131,94.30627824,2502.160541,1994.902243,141.8784638
491119526,0.256258193,44.3783,208.2911109,298.7124102,194.7356129,1945.834528,1578.015047,103.4598722
491119537,0.294338983,82.04,277.7291712,409.387335,210.1451084,2743.57736,2545.924397,224.0554763
491119688,0.14578765,43.0688,235.861005,141.4990806,107.8328355,1025.353436,469.552049,18.28130523
491119732,0.458667208,105.9572,413.3529319,350.2288619,1098.6159,3562.77172,5193.048665,686.7855646
491119754,0.429817282,69.16,425.9087203,234.2270819,333.02962,1731.907375,2348.495427,276.8514915
491119894,0.323171367,47.3267,380.5499237,278.8505299,633.4366527,2215.851602,2253.117197,191.8145674
491119916,0.265055147,45.5468,355.0058326,184.9430976,308.3189745,1811.446372,1514.990302,111.840163
491119938,0.364359048,94.3612,300.6809061,406.3528312,794.4659122,2917.111441,3314.587643,325.8111304
491119949,0.104699606,63.9444,233.2666888,311.5727259,36.03741398,2098.427557,688.0796519,18.42200788
491119971,0.212374782,45.1954,229.9051651,264.7062144,223.1119204,2661.691009,1772.27137,95.65158775
491120144,0.335695327,82.544,327.8050687,295.4587585,419.5475644,2222.595854,2341.860667,218.6349483
491120155,0.366243318,70.5653,487.3393652,308.8101187,327.443089,2990.007003,3440.582644,340.8160261
491120251,0.346399327,66.08,199.9779294,384.9627294,552.5745318,2403.606452,2632.251127,249.7724945
491120344,0.313069037,41.16,176.9540416,207.109221,495.5226732,858.970891,845.6567485,71.2616903
491120373,0.232946694,58.8211,199.453401,349.6106928,205.1393166,1328.527231,971.721999,60.62122593
491253802,0.429106282,80.7805,422.6371539,239.3405471,375.6790315,3363.132304,4559.634446,604.6573319
491253814,0.44691468,75.1993,462.0367768,272.7959509,535.1714115,2890.837313,4068.560666,540.7329309
491253847,0.435310423,38.3393,474.6997137,236.6245462,379.5322382,2129.054549,2939.736032,393.7130111
491253934,0.225441218,153.301,697.7545168,180.5302707,138.810257,2695.761544,1907.093215,111.5105985
491392788,0.384915914,57.96,492.7150047,247.0317395,278.2615286,2446.576426,3000.000402,338.776588
491392821,0.449630616,63.7784,482.1226411,225.7303639,303.0538783,2768.724192,3910.276476,535.9528173
491392833,0.387686329,105.28,687.8932361,191.6913864,380.2270416,1932.70902,2350.731664,250.1642052
491392845,0.333018604,99.4,657.0112243,294.2914175,322.4348727,3811.139898,4026.592931,385.1763753
491392856,0.258836167,86.5336,368.6999136,240.5194355,144.7683255,2496.73086,2032.812398,147.5153648
491392945,0.334824511,80.9231,503.4556738,274.6146444,347.3627903,3420.893566,3599.00117,354.7698202
491392956,0.180459482,85.6395,454.2423281,239.1508478,43.97578852,2161.672267,1223.739467,63.08152128
491458275,0.273426228,106.741,453.7277452,413.2731433,262.2726835,2976.839428,2562.518172,192.3646617
491458287,0.561654617,91.8644,482.3197539,236.0039762,453.4721903,2852.86898,5069.827678,797.0690254
491458672,0.452469914,132.2039,549.7813946,247.7063194,615.7784734,3543.480041,4967.744841,681.895572
491458970,0.42378308,67.48,469.1518851,225.7756868,385.3283027,2149.883882,2867.191163,355.8425901
491459160,0.396957295,178.92,410.4987109,200.67864,278.0598002,2367.496607,2978.737425,344.9174408
491459182,0.333153334,98.0067,594.8401972,285.2517662,529.6613007,2759.796058,2881.195975,268.1413339
491770140,0.276559545,109.4867,509.9216789,257.6994043,192.1614179,2131.980594,1849.555816,142.208846
491770152,0.335421656,103.3343,475.9474654,230.7101409,493.6234631,1986.672303,2091.859188,196.3845921
491770196,0.327523776,60.2515,172.0286578,321.7900113,89.78034675,1128.503702,1165.063589,101.6219605
491770934,0.182834837,138.8332,408.9035445,301.601799,118.853892,3020.367993,1730.877418,79.85254726
